eng-Latn	en	English		10000000
tir-Ethi	ti	Tigrinya	168
nya-Latn	ny	Chichewa	542
orm-Latn	om	Oromo	787
xho-Latn	xh	Xhosa	1,024
zul-Latn	zu	Zulu	1,324
tpi-Latn	tpi	Tok Pisin	1,505
kin-Latn	rw	Kinyarwanda	1,822
mlt-Latn	mt	Maltese	3,414
lao-Laoo	lo	Lao	3,451
hau-Latn	ha	Hausa	3,752
uig-Arab	ug	Uyghur (Perso-Arabic)	4,151
sna-Latn	sn	Shona	4,773
som-Latn	so	Somali	5,488
tuk-Latn	tk	Turkmen (Latin)	5,559
ilo-Latn	ilo	Ilocano	13,054
amh-Ethi	am	Amharic	14,820
ckb-Arab	ckb	Sorani	24,411
kmr-Latn	ku	Kurmanji	26,246
pan-Guru	pa	Punjabi (Eastern)	31,643
yor-Latn	yo	Yoruba	31,909
mya-Mymr	my	Burmese	44,707
swa-Latn	sw	Swahili	53,508
mar-Deva	mr	Marathi	54,100
jav-Latn	jv	Javanese	56,426
tel-Telu	te	Telugu	70,974
ben-Beng	bn	Bengali	72,311
tgl-Latn	tl	Tagalog	75,663
kir-Cyrl	ky	Kyrgyz (Cyrillic)	79,522
tgk-Cyrl	tg	Tajik	98,236
tam-Taml	ta	Tamil	123,057
uzb-Latn	uz	Uzbek (Latin)	131,351
hin-Deva	hi	Hindi	132,674
tha-Thai	th	Thai	132,856
aze-Latn	az	Azerbaijani (Latin)	149,154
kaz-Cyrl	kk	Kazakh (Cyrillic)	224,846
msa-Latn	ms	Malay	328,743
tur-Latn	tr	Turkish (Latin)	332,422
ron-Latn	ro	Romanian	400,145
hun-Latn	hu	Hungarian	455,841
ind-Latn	id	Indonesian	500,799
cat-Latn	ca	Catalan	620,664
ara-Arab	ar	Arabic	919,063
ukr-Cyrl	uk	Ukrainian	929,133
por-Latn	pt	Portuguese	1,012,574
cmn-Hans	zh	Chinese (Simplified)*	1,070,437
vie-Latn	vi	Vietnamese	1,232,682
pol-Latn	pl	Polish	1,352,188
spa-Latn	es	Spanish	1,539,012
ita-Latn	it	Italian	1,548,409
rus-Cyrl	ru	Russian	1,563,944
nld-Latn	nl	Dutch	1,976,406
fra-Latn	fr	French	2,133,504
deu-Latn	de	German	2,335,210
swe-Latn	sv	Swedish	3,748,817
ceb-Latn	ceb	Cebuano	5,335,752
sin-Sinh  si  Sinhala 0,000,000
